,train,val,iou
0,1.1700270572633649,1.0203404756816659,0.44540424440887505
1,0.8255315237619406,0.7702948467151539,0.5794630237698097
2,0.7453136758062752,0.7340104177191451,0.6045179765110061
3,0.7270555472294223,0.734444377390114,0.6034343484851947
4,0.7471786957720051,0.7263168519413149,0.604098881192562
5,0.7170050140208624,0.7475402322975365,0.5936381008018762
6,0.7046206949347238,0.7021407948152439,0.6185497871862663
7,0.7007200080016783,0.6753005192086503,0.6303752631103774
8,0.6307421958566111,0.6058699259081403,0.6567176058464889
9,0.5853275000849695,0.577129140496254,0.6684752205539773
10,0.561673464683386,0.5562936458233241,0.6823068705293793
11,0.5475808922263691,0.5445751249790192,0.6917590484964823
12,0.5373129719077145,0.5726394637210949,0.6799107582945104
13,0.5280845833063923,0.5270074328055253,0.7012750169938413
14,0.5085634398819212,0.5291198125562152,0.7012256828421155
15,0.5056825262248317,0.549083607825073,0.6816814920689429
16,0.5109227893244861,0.5143965643805426,0.7088840516055008
17,0.4856577482709917,0.5127444665979695,0.7121757332616451
18,0.48063729718377357,0.5030228890277244,0.7108246636158024
19,0.5093537058718627,0.4980591575841646,0.7133221197098428
20,0.46597723732624563,0.4844183353958903,0.7148359925214748
21,0.45474948362761913,0.4778010700200055,0.7300399649322098
22,0.4491814895218431,0.4714970933021726,0.729386427434902
23,0.45325447065774416,0.4943046879929465,0.716761856050813
24,0.44165382108162077,0.46400598134543447,0.7363190075563799
25,0.4409171450995283,0.48417133576161153,0.7256711752103175
26,0.4361006107717055,0.46890991765099604,0.7275760326780679
27,0.4354378617926186,0.4941446821431856,0.7187128762536674
28,0.4351128756900296,0.4666595104578379,0.7314337636689693
29,0.41712695714024,0.45746336313518315,0.7361288861228705
30,0.4045686116286345,0.49361748832303126,0.7272708925973707
31,0.39542329166844536,0.4577460568901655,0.7403423488054025
32,0.4076316156813931,0.4662877297079241,0.7319890371725931
33,0.4154562892323752,0.4332776260939804,0.7492639291906111
34,0.3969590526360732,0.451095522658245,0.7345415757034394
35,0.3892018096801828,0.43314111675765066,0.7510838878168037
36,0.38048697564514183,0.4492648533872656,0.7459606183353292
37,0.38696657913584376,0.44346961358914505,0.7417394355581877
38,0.37754490732349283,0.43803889928637324,0.7450911895101459
39,0.36685193442182,0.4214900325278978,0.7563463234669907
40,0.37859841976875447,0.4542826224823256,0.7423527421217753
41,0.3855642525846743,0.4221722125201612,0.7521890797796129
42,0.3697655019054445,0.433213761730774,0.7504207746454716
43,0.38697859246196553,0.41481810445721085,0.7558605965955835
44,0.3563423042612331,0.42186635712514053,0.7616427546874801
45,0.35635569148438434,0.40830636145295324,0.7604696814682878
46,0.35215735774375123,0.4250615847271842,0.7602202411798679
